branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate,outstanding,weekly_disbursement,weekly_new_borrower_per_bp
POINTID_42,2018-10-20,AREAID_27,REGION_JR1,2017-09-09,1108,5,1%-2.5%,2.150,20,3
POINTID_35,2018-10-20,AREAID_1,REGION_JH,2017-07-29,1515,7,5%-10%,2.500,110,1
POINTID_24,2018-10-20,AREAID_20,REGION_JH,2017-06-10,1092,5,2.5%-5%,1.850,75,7
POINTID_62,2018-10-20,AREAID_13,REGION_JR2,2018-05-05,683,3,0%,1.600,145,17
POINTID_45,2018-10-20,AREAID_21,REGION_JR1,2017-09-16,2294,8,0%-1%,4.300,50,7
POINTID_111,2018-10-20,AREAID_12,REGION_JR1,2018-09-22,54,2,0%,150,20,4
POINTID_103,2018-10-20,AREAID_18,REGION_JR2,2018-08-18,243,2,0%,650,90,15
POINTID_98,2018-10-20,AREAID_10,REGIONID_JT,2018-07-14,430,2,0%,1.150,110,19
POINTID_80,2018-10-20,AREAID_26,REGIONID_N,2018-07-21,235,2,0%,600,85,13
POINTID_94,2018-10-20,AREAID_23,REGION_JR2,2018-07-28,516,3,0%,1.350,195,22
POINTID_101,2018-10-20,AREAID_15,REGION_JR1,2018-08-04,452,3,0%,1.200,140,16
POINTID_85,2018-10-20,AREAID_22,REGIONID_JT,2018-08-04,385,2,0%,1.050,145,23
POINTID_87,2018-10-20,AREAID_16,REGIONID_JT,2018-07-21,533,3,0%,1.600,235,24
POINTID_54,2018-10-20,AREAID_24,REGIONID_JT,2017-11-11,1568,7,0%,3.050,305,9
POINTID_57,2018-10-20,AREAID_24,REGIONID_JT,2017-11-11,1322,7,0%,1.950,160,10
POINTID_56,2018-10-20,AREAID_24,REGIONID_JT,2017-11-11,1370,8,0%,2.050,135,8
POINTID_52,2018-10-20,AREAID_29,REGION_JH,2017-09-09,1973,8,0%-1%,3.950,110,4
POINTID_59,2018-10-20,AREAID_25,REGIONID_JT,2018-05-05,639,3,0%,1.550,95,12
POINTID_82,2018-10-20,AREAID_9,REGIONID_N,2018-07-21,424,2,0%,1.250,40,6
POINTID_95,2018-10-20,AREAID_18,REGION_JR2,2018-08-11,434,3,0%,1.150,150,17
POINTID_76,2018-10-20,AREAID_6,REGIONID_JT,2018-08-11,511,3,0%,1.500,210,22
POINTID_113,2018-10-20,AREAID_3,REGION_JR2,2018-09-29,82,2,0%,200,110,19
POINTID_53,2018-10-20,AREAID_24,REGIONID_JT,2017-11-11,1722,9,0%,2.900,235,7
POINTID_50,2018-10-20,AREAID_29,REGION_JH,2017-09-09,1258,9,>10%,2.500,95,4
